user_ID,first_name,last_name,username,password,role_ID
1,AUDREY,BERGER,ABERGE1,123,1
2,ROBERT,ORTIZ,RORTIZ1,123,1
3,CLARENCE,MILLS,CMILLS1,123,1
4,ANDREW,BAILEY,ABAILE1,123,3
5,DENISE,WILSON,DWILSO1,123,3
6,LAURA,GREEN,LGREEN1,123,3
7,PAMELA,BOOTH,PBOOTH1,123,3
8,JUDITH,HEBERT,JHEBER1,123,3
9,Robert,Payne,Youstaired,123,3
10,Helen,Arnold,Shavan,123,4
11,Virginia,Webb,Aniced,123,4
12,Edward,Snook,Hilooppat,123,2
13,Edward,Demello,Ancomettiody,123,2
14,Forrest,Lopez,Castand,123,2
15,Steve,Floyd,Alask1980,123,2
16,Mary,Basquez,Fectionce,123,2
17,Andrew,Skaggs,Dord1973,123,2
18,Timothy,Moore,Waallovar,123,2
19,Jeffery,Dodson,Makess,123,2
20,Pam,Knowles,Roing1964,123,2
21,James,Curtis,Vaid1950,123,2
22,Becky,Rubino,Tride1994,123,2
23,Ralph,Pearson,Thettles,123,2
