user_ID,first_name,last_name,username,password,role_ID
1,AUDREY,BERGER,ABERGE1,123,1
2,ROBERT,ORTIZ,RORTIZ1,123,1
3,CLARENCE,MILLS,CMILLS1,123,1
4,CYNTHIA,BARKER,CBARKE1,123,1
5,GERTRUDE,KING,GKING1,123,1
6,ROBERT,CALDWELL,RCALDW1,123,1
7,WILLIAM,JOHNSON,WJOHNS1,123,1
8,CATHY,SMITH,CSMITH1,123,1
9,KENNETH,DUNCAN,KDUNCA1,123,1
10,KATHERINE,ARMSTRONG,KARMST1,123,1
11,ANDREW,BAILEY,ABAILE1,123,3
12,DENISE,WILSON,DWILSO1,123,3
13,LAURA,GREEN,LGREEN1,123,3
14,PAMELA,BOOTH,PBOOTH1,123,3
15,JUDITH,HEBERT,JHEBER1,123,3
16,Robert,Payne,Youstaired,123,3
17,Helen,Arnold,Shavan,123,4
18,Virginia,Webb,Aniced,123,4
19,Kimberley,Walker,Offeed42,123,4
20,Edward,Snook,Hilooppat,123,2
21,Edward,Demello,Ancomettiody,123,2
22,Forrest,Lopez,Castand,123,2
23,Steve,Floyd,Alask1980,123,2
24,Mary,Basquez,Fectionce,123,2
25,Andrew,Skaggs,Dord1973,123,2
26,Timothy,Moore,Waallovar,123,2
27,Jeffery,Dodson,Makess,123,2
28,Pam,Knowles,Roing1964,123,2
29,James,Curtis,Vaid1950,123,2
30,Becky,Rubino,Tride1994,123,2
31,Ralph,Pearson,Thettles,123,2
32,Diana,Pond,Thatermonlen1987,123,1
33,Marion,Kwan,Stroathemed1947,123,1
34,Kimberly,George,Tiour1951,123,1
35,Brian,Volker,Lemp1950,123,1
36,Jeremy,Cruz,Intownes,123,3
37,Edmond,Banton,Dich1964,123,3
38,Matthew,Longenecker,Thade1946,123,3
39,Steven,Tillman,Vadvapegul1978,123,1
40,John,Schueller,Untoonesch,123,1
